weekofmonth,dayofweek,make,accidentarea,dayofweekclaimed,weekofmonthclaimed,sex,maritalstatus,age,fault,policytype,vehiclecategory,vehicleprice,policynumber,repnumber,deductible,driverrating,days_policy_accident,days_policy_claim,pastnumberofclaims,ageofvehicle,ageofpolicyholder,policereportfiled,witnesspresent,agenttype,numberofsuppliments,addresschange_claim,numberofcars,year,basepolicy
3,0,17,1,7,4,1,1,72,0,1,0,0,12563,16,400,1,3,2,1,6,8,0,0,0,2,3,0,1996,1
2,1,13,1,2,2,1,2,33,0,2,1,0,1686,14,400,1,3,2,2,4,4,0,0,0,2,3,0,1994,2
3,6,6,1,7,4,1,1,75,0,4,1,5,10574,4,400,1,3,2,3,6,8,0,0,0,3,3,0,1995,1
1,4,6,1,1,1,1,1,31,0,0,0,1,6073,14,400,1,3,2,3,5,4,0,0,0,3,3,0,1994,0
1,5,2,1,7,1,1,1,40,0,2,1,1,4859,8,400,2,3,2,3,5,5,0,0,0,3,3,0,1994,2
5,4,13,1,2,1,1,1,62,0,1,0,0,11807,5,400,4,3,2,1,3,7,0,0,0,2,3,0,1996,1
3,4,15,1,5,2,1,1,40,0,1,0,1,2681,9,400,3,3,2,0,5,5,0,0,0,3,3,0,1994,1
4,0,17,1,2,4,1,1,46,0,1,0,2,11691,16,400,1,3,2,3,5,6,0,0,0,1,3,0,1996,1
3,0,6,0,1,4,1,2,20,0,0,0,0,4546,6,400,2,3,2,2,2,2,0,0,0,2,3,0,1994,0
5,0,9,1,1,5,1,1,45,0,1,0,0,8797,14,400,3,3,2,3,5,5,0,0,0,3,3,0,1995,1
4,0,6,1,6,1,0,2,31,1,2,1,0,13056,2,400,2,2,2,1,3,4,0,0,0,3,3,0,1996,2
3,2,13,1,6,3,1,2,27,0,1,0,0,15151,15,400,4,4,2,1,5,4,1,0,0,3,3,0,1996,1
3,6,9,1,5,4,1,1,33,0,2,1,0,10888,6,400,3,3,2,1,4,4,0,0,0,3,3,0,1995,2
1,4,13,1,5,1,1,1,45,0,2,1,5,3272,7,400,3,3,2,1,5,5,0,0,0,2,3,0,1994,2
1,2,17,1,6,3,0,2,27,0,0,0,4,2247,6,400,4,3,2,1,4,4,0,0,0,3,3,0,1994,0
2,4,13,0,1,3,1,2,26,0,1,0,0,7668,12,400,3,3,2,1,5,4,0,0,0,0,3,2,1995,1
3,6,9,1,5,1,1,1,51,0,1,0,1,10471,13,400,2,3,2,3,6,6,0,0,0,0,3,0,1995,1
4,6,13,1,1,4,1,1,38,0,2,1,4,222,2,400,4,3,2,2,5,5,0,0,0,3,3,0,1994,2
4,2,13,1,2,4,1,2,32,1,1,0,1,14188,15,400,3,3,2,1,4,4,0,0,0,3,3,0,1996,1
4,2,13,1,7,4,1,1,52,0,0,0,0,6490,10,400,3,3,2,1,6,6,0,0,0,3,2,1,1995,0
3,4,6,1,6,3,1,2,31,0,2,1,1,7761,10,400,4,3,2,1,4,4,0,0,0,3,3,0,1995,2
2,5,13,1,6,3,1,1,37,1,1,0,1,12362,9,400,2,3,2,1,5,5,0,0,0,2,3,0,1996,1
2,2,2,1,2,2,1,1,51,1,0,0,5,1594,6,400,3,3,2,0,5,6,0,0,0,3,3,0,1994,0
3,1,17,1,1,3,0,1,52,0,1,0,0,3147,12,400,2,3,2,3,3,6,0,0,0,0,3,0,1994,1
1,6,0,1,2,1,1,2,18,0,1,0,0,3474,14,400,2,3,2,1,1,2,0,0,0,0,3,0,1994,1
4,5,17,1,6,2,1,1,50,0,0,0,0,7477,3,400,4,3,2,1,5,6,0,0,0,3,2,1,1995,0
4,6,13,1,1,4,1,1,27,0,2,1,0,52,4,500,3,3,2,1,4,4,0,0,0,1,1,0,1994,2
1,3,6,0,7,2,1,2,28,0,1,0,0,13902,3,400,1,3,2,1,3,4,0,0,0,0,3,0,1996,1
3,0,17,1,6,4,1,1,51,1,1,0,0,9214,5,400,1,3,2,1,5,6,0,0,0,2,3,0,1995,1
2,6,9,1,5,3,0,1,38,1,0,0,5,5755,14,400,4,3,2,3,5,5,0,0,0,2,2,1,1994,0
2,4,13,1,5,2,1,1,30,0,2,1,0,14298,3,400,1,3,2,1,4,4,0,0,0,3,3,0,1996,2
3,6,6,1,7,3,1,1,37,1,0,0,4,3543,4,400,1,3,2,1,5,5,0,0,0,2,3,0,1994,0
4,1,13,1,2,1,0,0,44,1,0,0,1,4730,14,400,2,3,2,1,5,5,0,0,0,2,3,0,1994,0
1,0,2,1,1,3,0,1,63,0,0,0,5,3737,4,400,4,3,2,3,3,7,0,0,0,3,3,0,1994,0
1,5,13,1,7,1,1,1,74,0,1,0,0,10081,13,400,3,3,2,3,5,8,0,0,0,1,2,1,1995,1
5,4,6,1,5,1,1,1,47,0,2,1,0,7656,15,400,3,3,2,2,5,6,0,0,0,3,3,0,1995,2
3,6,17,1,3,4,1,2,39,0,0,0,1,14834,9,400,1,3,2,0,5,5,0,0,0,2,0,0,1996,0
4,0,13,1,2,1,1,1,53,0,2,1,5,11979,11,400,3,3,2,1,5,6,0,0,0,2,3,0,1996,2
1,1,6,1,1,3,1,1,70,0,1,0,0,4721,12,400,4,3,2,3,6,8,1,0,0,1,3,0,1994,1
4,0,6,1,6,1,1,2,30,1,1,0,5,246,3,400,4,3,2,3,7,0,0,0,0,3,3,0,1994,1
4,6,13,1,7,1,1,1,43,1,0,0,0,11701,15,400,4,3,2,0,6,5,0,0,0,3,3,0,1996,0
4,0,17,1,5,1,1,1,73,0,2,1,0,12593,10,400,2,3,2,0,6,8,0,0,0,1,3,0,1996,2
1,1,2,1,6,3,1,1,48,0,6,2,5,3928,14,500,1,3,2,2,6,6,0,0,0,3,1,1,1994,0
2,0,6,0,6,2,1,1,44,1,1,0,1,6050,1,400,3,3,2,3,5,5,0,0,0,3,3,0,1994,1
2,0,0,1,1,4,1,1,44,0,0,0,0,12349,16,400,1,3,2,3,5,5,0,0,0,1,2,1,1996,0
1,3,9,0,2,1,1,1,55,1,1,0,1,3346,8,400,2,3,2,3,6,6,0,0,0,2,3,0,1994,1
1,4,6,1,7,3,1,1,37,1,0,0,0,14106,16,700,4,3,2,3,6,5,0,0,0,3,0,0,1996,0
1,1,13,1,6,2,1,1,31,0,0,0,4,4315,13,400,3,3,2,0,5,4,0,0,0,3,3,0,1994,0
2,2,6,1,1,3,1,1,54,1,0,0,0,1967,4,400,2,3,2,1,6,6,0,0,0,3,3,0,1994,0
3,2,6,1,2,3,1,2,26,0,2,1,1,6739,8,400,4,3,2,2,5,4,0,0,0,2,3,0,1995,2
4,2,9,1,1,1,1,1,60,0,1,0,0,2340,1,400,4,3,2,0,5,7,0,0,0,3,3,0,1994,1
4,6,2,1,5,4,1,1,50,0,2,1,1,13168,5,400,3,3,2,2,6,6,0,0,0,0,2,1,1996,2
1,3,17,1,6,2,1,1,57,0,2,1,0,4341,3,700,2,3,2,1,5,7,0,0,0,3,3,0,1994,2
3,4,17,1,6,3,1,2,34,1,1,0,4,11643,6,400,1,3,2,0,4,4,0,0,0,2,3,0,1996,1
4,0,13,1,1,5,0,1,47,0,0,0,1,5927,5,400,3,3,2,1,3,6,0,0,0,2,3,0,1994,0
1,6,13,1,7,1,0,2,32,1,2,1,0,14706,3,400,3,3,2,2,3,4,0,0,0,0,3,0,1996,2
3,3,17,1,5,1,1,1,52,1,1,0,0,2605,8,700,1,3,2,3,6,6,0,0,0,3,2,1,1994,1
3,0,13,1,7,4,1,1,30,0,0,0,0,13970,3,400,2,3,2,2,5,4,0,0,0,1,3,0,1996,0
1,4,2,0,2,2,1,2,32,0,0,0,0,7374,2,400,2,3,2,3,4,4,0,0,0,3,3,0,1995,0
5,3,17,1,5,4,1,1,49,0,2,1,0,14034,2,400,1,3,2,2,5,6,0,0,0,3,3,0,1996,2
3,3,13,1,2,3,1,1,50,0,2,1,1,2082,9,400,3,3,2,1,6,6,0,0,0,3,3,0,1994,2
5,1,13,1,2,5,1,2,50,0,2,1,1,12168,7,400,3,3,2,1,5,6,0,0,0,1,3,0,1996,2
4,0,9,1,1,1,1,2,26,1,2,1,1,12218,11,400,3,3,2,2,4,4,0,0,0,3,3,0,1996,2
3,3,13,1,2,3,1,1,27,0,1,0,0,3676,16,400,4,3,2,1,4,4,0,0,0,3,2,1,1994,1
1,1,13,1,6,1,1,1,45,0,1,0,0,1591,7,400,1,3,2,1,4,5,0,0,0,3,3,0,1994,1
2,0,6,1,7,5,1,1,33,0,1,0,1,12920,8,400,2,3,2,1,4,4,0,0,0,3,3,0,1996,1
3,6,13,0,6,4,1,1,55,0,1,0,0,11824,16,400,1,3,2,1,4,6,0,0,0,1,2,1,1996,1
4,6,18,0,5,4,1,1,52,1,0,0,5,8647,9,400,1,3,2,3,6,6,0,0,0,0,3,0,1995,0
4,4,6,1,7,5,1,1,49,0,2,1,5,13504,13,400,2,3,2,1,3,6,0,0,0,3,2,1,1996,2
3,3,13,1,5,3,1,1,35,0,2,1,0,10479,8,700,1,3,2,0,5,4,0,0,0,3,3,0,1995,2
2,6,5,1,1,2,1,1,62,0,0,0,1,8792,15,400,3,3,2,3,6,7,0,0,0,3,3,0,1995,0
4,2,6,0,5,1,1,2,28,1,0,0,4,11208,7,400,4,3,2,2,4,4,0,0,0,0,3,0,1995,0
2,1,2,1,6,2,0,1,30,1,0,0,5,268,3,400,2,3,2,0,4,4,0,0,0,1,3,0,1994,0
4,2,2,1,2,2,1,2,24,0,2,1,1,12234,16,400,3,3,2,0,3,3,0,0,1,3,3,0,1996,2
2,3,13,1,7,2,1,2,26,0,2,1,1,986,8,400,2,3,2,2,4,4,0,0,0,3,3,0,1994,2
5,2,2,1,5,2,1,1,35,0,0,0,0,937,14,400,4,3,2,0,3,4,0,0,0,3,3,0,1994,0
5,2,13,1,7,3,1,1,28,1,2,1,0,2377,13,400,3,3,2,0,4,4,0,0,0,1,3,0,1994,2
4,2,13,1,1,1,1,2,35,0,1,0,0,11830,7,400,1,3,2,1,4,4,0,0,0,1,3,0,1996,1
5,0,13,1,1,5,1,1,51,0,2,1,1,14997,5,400,1,3,2,2,6,6,0,0,0,2,3,0,1996,2
3,1,6,1,1,3,1,2,30,0,1,0,5,10636,7,400,4,3,2,1,7,0,0,0,0,3,3,0,1995,1
4,3,9,1,6,4,1,1,60,0,1,0,0,10064,3,400,1,3,2,1,6,7,0,0,0,1,3,0,1995,1
5,1,17,1,7,5,0,1,40,1,1,0,5,639,11,400,3,3,2,0,4,5,1,0,0,0,3,0,1994,1
1,3,17,1,2,1,1,1,64,0,1,0,0,10330,15,400,2,3,2,1,6,7,0,0,0,0,3,0,1995,1
1,0,6,1,5,2,0,1,35,0,1,0,0,3469,3,500,3,3,2,1,5,4,0,0,0,2,1,0,1994,1
1,1,2,1,2,1,0,2,27,0,2,1,0,12876,4,400,1,3,2,1,4,4,0,0,0,1,3,0,1996,2
2,0,2,1,7,3,1,1,31,0,6,2,5,5033,5,400,4,3,2,0,4,4,0,0,0,1,3,0,1994,0
2,6,6,1,5,4,1,1,40,1,1,0,1,5079,10,400,4,3,2,0,6,5,0,0,0,1,3,0,1994,1
5,5,6,1,7,5,1,1,40,0,2,1,0,6034,3,400,3,3,2,3,5,5,0,0,0,2,3,0,1994,2
3,0,17,1,2,3,1,1,73,0,2,1,1,7515,16,400,4,1,2,3,6,8,0,0,0,3,3,0,1995,2
4,6,9,1,1,4,1,1,39,0,2,1,1,14805,8,400,3,3,2,0,5,5,0,0,0,3,3,0,1996,2
5,0,13,1,1,4,0,1,44,0,0,0,1,8362,2,400,2,3,2,3,5,5,0,0,0,0,3,0,1995,0
3,6,17,1,7,3,1,1,50,0,0,0,0,14348,16,400,4,3,2,3,6,6,0,0,0,0,3,0,1996,0
1,1,9,1,2,1,1,1,61,0,1,0,1,14684,13,400,2,3,2,3,6,7,0,0,0,0,3,0,1996,1
5,1,2,1,7,4,1,1,33,0,2,1,0,10924,6,400,2,3,2,2,3,4,0,0,0,3,3,0,1995,2
3,5,9,0,6,3,1,1,28,0,1,0,0,1625,12,400,2,3,2,1,5,4,0,0,0,3,3,0,1994,1
2,1,2,1,2,2,1,1,48,1,1,0,0,772,2,400,2,3,2,1,5,6,0,0,0,3,3,0,1994,1
2,6,18,1,6,4,1,1,65,0,1,0,2,5085,16,700,4,3,2,2,5,7,0,0,0,2,3,2,1994,1
2,5,2,1,2,3,0,1,45,0,2,1,0,15047,2,400,2,3,2,0,5,5,0,0,0,1,3,0,1996,2
2,0,13,1,6,4,1,2,33,1,1,0,0,3046,14,400,1,3,2,1,4,4,0,0,0,3,2,1,1994,1
5,0,6,1,5,1,1,2,27,0,0,0,0,9858,12,400,1,3,2,1,4,4,0,0,0,0,3,0,1995,0
2,3,13,1,2,2,1,1,29,0,1,0,0,136,6,400,2,3,2,0,5,4,0,0,0,2,3,0,1994,1
3,3,17,1,1,3,1,1,48,0,2,1,0,15102,5,400,4,3,2,1,6,6,0,0,0,0,3,0,1996,2
2,2,17,1,2,2,1,2,32,1,1,0,0,13944,12,400,1,3,2,3,5,4,0,0,0,0,3,0,1996,1
4,2,13,1,7,1,0,2,32,0,1,0,1,10978,12,400,4,3,2,3,4,4,0,0,0,2,3,0,1995,1
1,1,17,1,6,1,1,2,26,0,1,0,0,6707,2,400,4,3,2,2,5,4,0,0,0,0,3,0,1995,1
2,4,9,1,5,2,1,1,35,0,2,1,1,5880,1,400,3,3,2,1,4,4,0,0,0,3,3,0,1994,2
4,6,17,1,1,4,1,1,52,0,2,1,1,4621,7,400,2,3,2,1,5,6,0,0,0,3,2,1,1994,2
2,2,13,0,2,2,1,1,63,0,0,0,4,1426,2,400,1,3,2,0,6,7,1,0,0,3,3,0,1994,0
2,0,17,1,1,2,0,1,31,0,2,1,1,12258,13,400,4,3,2,1,4,4,0,0,0,1,3,0,1996,2
1,0,17,1,7,3,1,1,39,0,1,0,0,4602,6,400,2,3,2,3,5,5,1,0,0,0,3,0,1994,1
1,4,17,1,2,2,1,2,32,1,1,0,0,11343,9,400,2,3,2,1,4,4,0,0,0,1,3,0,1996,1
1,0,9,1,6,1,1,1,49,1,1,0,0,11438,5,400,3,4,1,3,5,6,0,0,0,3,3,0,1996,1
3,2,17,1,5,4,1,1,50,1,0,0,0,7884,16,400,2,3,2,0,6,6,0,0,0,2,3,0,1995,0
3,4,17,1,1,1,1,1,41,0,0,0,5,1925,4,400,3,3,2,0,6,5,0,0,0,3,3,0,1994,0
5,2,13,1,1,3,0,1,63,1,2,1,0,3432,6,400,3,3,2,1,5,7,0,0,0,1,3,0,1994,2
4,2,13,1,2,4,1,1,42,1,0,0,4,3521,7,400,2,3,2,3,5,5,0,0,0,3,3,0,1994,0
1,6,9,1,7,1,1,2,35,0,1,0,0,852,1,400,2,3,2,1,2,4,0,0,0,3,3,0,1994,1
1,2,17,1,1,2,1,1,40,0,1,0,0,11538,6,400,1,3,2,1,6,5,0,0,0,2,3,0,1996,1
1,2,13,1,3,2,1,1,39,0,2,1,0,267,4,400,3,3,2,1,5,5,0,0,0,3,3,0,1994,2
2,6,6,1,1,2,0,1,35,0,1,0,0,6979,4,400,1,3,2,0,4,4,0,0,0,3,3,0,1995,1
2,3,6,1,2,2,1,1,41,0,2,1,0,6460,2,400,4,3,2,1,4,5,0,0,0,0,3,0,1995,2
5,5,17,1,1,1,1,1,55,0,1,0,0,10122,8,400,1,3,2,1,5,6,0,0,1,3,3,0,1995,1
2,0,17,1,2,3,1,1,46,0,2,1,0,14424,7,400,2,3,2,3,6,6,0,0,1,0,3,0,1996,2
1,1,9,1,7,1,1,1,41,0,1,0,5,6886,12,500,2,3,2,3,5,5,0,0,0,3,1,0,1995,1
3,0,13,1,1,3,1,1,57,1,0,0,4,14126,10,400,2,3,2,0,5,7,0,0,0,0,3,0,1996,0
4,6,6,1,3,1,0,2,23,0,1,0,0,13818,9,400,2,3,2,3,3,3,0,0,0,3,3,2,1996,1
2,1,17,1,7,3,1,2,42,1,1,0,0,13791,4,400,3,3,2,3,5,5,0,0,0,3,3,0,1996,1
4,4,9,1,1,4,0,0,42,0,2,1,1,5987,16,400,2,3,2,1,4,5,0,0,0,2,3,2,1994,2
2,3,6,1,6,2,1,1,45,0,2,1,5,5337,8,400,3,3,2,1,5,5,0,0,0,3,3,0,1994,2
4,1,6,1,2,4,0,2,34,0,2,1,0,5932,16,400,4,3,2,1,4,4,0,0,0,0,3,0,1994,2
4,3,16,1,1,4,1,1,36,0,0,0,0,6691,3,400,3,3,2,0,3,5,0,0,0,3,3,0,1995,0
3,1,2,1,7,3,0,2,37,0,2,1,0,3353,10,400,2,3,2,2,5,5,0,0,0,3,3,0,1994,2
1,4,9,1,2,2,1,1,29,1,0,0,1,6876,6,400,2,3,2,0,5,4,0,0,0,0,3,0,1995,0
4,3,17,1,2,4,1,2,27,0,1,0,0,11735,4,400,2,3,2,2,5,4,0,0,0,2,3,0,1996,1
1,0,17,1,7,1,1,2,56,0,0,0,5,2503,10,400,1,3,2,1,6,7,0,0,0,0,3,0,1994,0
1,4,13,1,5,1,1,1,39,0,2,1,0,10096,3,400,2,3,2,2,5,5,0,0,0,2,3,0,1995,2
3,3,6,1,6,3,1,1,43,0,1,0,1,782,11,400,1,3,2,0,5,5,0,0,0,2,3,0,1994,1
5,1,9,1,6,5,1,1,54,0,2,1,1,5203,4,500,2,3,2,0,5,6,0,0,0,0,1,0,1994,2
2,4,17,1,1,2,1,1,47,1,2,1,0,8383,1,400,1,3,2,2,5,6,0,0,0,2,3,0,1995,2
4,2,13,1,7,5,1,1,42,1,2,1,0,10544,3,400,3,3,2,1,5,5,0,0,0,3,3,0,1995,2
3,6,2,1,1,3,1,1,44,1,2,1,1,12783,6,400,2,3,2,3,5,5,0,0,1,2,3,0,1996,2
3,4,9,1,1,4,0,2,31,0,1,0,0,12193,4,400,3,3,2,0,5,4,0,0,0,2,3,0,1996,1
3,0,2,1,7,4,0,1,33,0,2,1,0,4827,6,400,1,3,2,2,2,4,0,0,0,3,3,0,1994,2
5,3,13,0,5,1,1,1,38,1,2,1,0,5574,1,400,1,3,2,1,5,5,0,0,0,3,3,0,1994,2
2,2,6,1,6,3,1,2,31,0,1,0,0,3784,2,400,3,3,2,3,3,4,0,0,0,3,3,0,1994,1
5,0,0,1,2,2,1,1,32,0,0,0,5,4425,12,400,4,3,2,0,4,4,0,0,0,3,3,0,1994,0
1,5,13,1,1,2,1,1,61,0,2,1,1,5009,9,400,1,3,2,2,5,7,0,0,0,3,3,0,1994,2
2,1,0,1,7,2,1,1,54,0,0,0,1,5000,16,400,1,3,2,3,6,6,0,0,0,2,3,0,1994,0
5,5,13,1,6,2,1,1,47,1,0,0,0,9464,11,400,3,3,2,2,6,6,0,0,0,3,3,0,1995,0
4,1,6,1,6,2,1,2,19,1,4,1,5,3930,11,400,1,3,2,3,3,2,0,0,0,3,3,0,1994,1
3,6,2,1,6,4,1,1,65,0,2,1,0,13499,1,400,2,3,2,1,6,7,0,0,0,2,3,0,1996,2
1,1,6,1,5,2,1,1,30,0,1,0,0,12497,6,400,2,3,2,1,5,4,0,0,0,2,3,0,1996,1
4,1,17,1,7,4,1,1,43,1,1,0,0,5721,8,400,4,3,2,0,4,5,1,1,0,3,3,0,1994,1
3,4,13,1,7,4,1,1,44,0,2,1,5,8434,13,400,3,3,2,3,5,5,0,0,0,1,3,0,1995,2
3,6,17,0,5,3,1,1,37,1,0,0,0,13857,15,400,2,3,2,3,4,5,0,0,0,3,3,0,1996,0
5,0,17,1,6,1,0,1,40,1,1,0,0,10684,9,400,1,3,2,1,4,5,0,0,0,3,3,0,1995,1
5,1,2,1,1,1,1,2,38,0,2,1,1,6515,16,400,3,3,2,0,5,5,0,0,0,1,3,0,1995,2
4,1,18,1,2,2,1,1,48,0,2,1,2,7919,10,400,3,3,2,0,6,6,0,0,0,3,3,0,1995,2
1,3,6,1,5,4,1,1,53,0,2,1,5,12053,3,400,3,3,2,0,6,6,0,0,0,2,3,0,1996,2
3,4,17,1,2,3,0,1,43,0,0,0,4,10061,8,400,2,3,2,1,0,5,0,0,0,0,3,0,1995,0
1,0,6,1,1,2,1,1,42,0,2,1,0,5793,16,400,2,3,2,2,5,5,0,0,0,3,3,0,1994,2
4,6,17,1,1,1,1,1,53,0,2,1,1,7193,7,700,1,3,2,1,5,6,0,0,0,2,3,0,1995,2
4,5,13,1,6,1,1,1,39,0,0,0,0,12187,1,400,4,3,2,3,6,5,0,0,0,0,3,0,1996,0
3,3,9,0,2,3,1,2,33,0,1,0,0,10673,2,400,1,3,2,0,3,4,0,0,0,2,3,0,1995,1
2,4,9,1,2,2,1,1,35,0,1,0,1,12835,1,700,4,3,2,1,5,4,0,0,0,2,3,0,1996,1
4,4,13,1,1,4,1,1,29,0,1,0,1,9237,3,400,4,3,2,3,4,4,0,0,0,3,3,0,1995,1
5,6,13,1,1,1,0,2,31,1,1,0,0,10711,7,500,4,3,2,3,4,4,0,0,0,3,1,1,1995,1
2,4,6,1,7,3,0,1,23,1,1,0,0,13337,6,400,2,3,2,1,3,3,0,0,0,3,3,0,1996,1
1,5,18,1,7,1,1,2,31,0,1,0,5,359,8,400,4,3,2,3,4,4,0,0,0,3,3,0,1994,1
4,3,6,1,2,4,0,2,29,0,2,1,0,8229,11,400,1,3,2,1,3,4,0,0,0,3,3,0,1995,2
2,0,9,1,6,2,0,2,29,0,2,1,1,6385,12,400,3,3,2,1,4,4,0,0,0,1,2,1,1995,2
1,6,9,1,5,1,1,1,28,0,1,0,0,4718,2,400,1,3,2,0,5,4,1,0,0,0,3,0,1994,1
1,5,6,0,2,4,1,1,64,0,0,0,4,5018,2,400,3,3,2,3,6,7,0,0,0,0,3,0,1994,0
3,2,9,1,5,4,0,1,29,0,2,1,0,1610,16,400,3,3,2,1,4,4,0,0,0,1,3,0,1994,2
3,2,13,1,1,4,1,1,39,0,1,0,1,10266,2,400,4,3,2,3,6,5,0,0,0,2,3,0,1995,1
1,0,6,1,2,2,1,1,28,0,0,0,0,8679,2,400,1,3,2,0,4,4,0,0,0,0,3,0,1995,0
2,4,6,1,1,4,1,1,31,0,1,0,0,13609,5,400,2,3,2,3,4,4,0,0,0,3,2,1,1996,1
4,2,9,1,1,1,1,1,49,1,0,0,1,3482,13,400,1,3,2,1,6,6,0,0,0,1,3,0,1994,0
1,2,2,1,7,2,1,2,29,0,0,0,1,1256,10,400,1,3,2,0,3,4,0,0,0,3,3,0,1994,0
1,4,13,1,1,1,1,2,36,0,2,1,1,2831,16,400,3,3,2,2,5,5,0,0,0,2,3,0,1994,2
3,6,13,1,7,3,1,2,35,0,2,1,0,3763,16,400,3,3,2,2,5,4,0,0,0,2,3,0,1994,2
4,4,2,1,6,1,1,1,48,0,2,1,0,11514,16,400,3,3,2,0,5,6,0,0,0,3,3,0,1996,2
4,0,13,1,2,5,0,1,26,1,1,0,2,1117,7,400,1,3,2,1,4,4,0,0,1,1,3,0,1994,1
1,0,13,1,6,3,1,1,45,1,0,0,0,12492,6,400,2,3,2,1,6,5,1,0,0,2,3,0,1996,0
3,6,17,1,2,4,1,2,33,0,2,1,1,5798,13,700,1,3,2,1,5,4,0,0,0,3,3,0,1994,2
2,5,13,1,6,2,1,2,23,0,2,1,1,152,8,400,4,3,2,2,3,3,0,0,0,1,3,0,1994,2
3,2,2,1,1,1,1,2,24,1,1,0,1,7285,11,400,4,3,2,0,3,3,0,0,0,3,3,0,1995,1
1,0,17,1,6,2,1,1,31,0,2,1,0,9605,7,400,4,3,2,0,5,4,0,0,0,3,3,0,1995,2
2,1,0,1,1,5,1,1,42,0,0,0,1,5397,15,400,4,3,2,2,5,5,0,0,0,3,3,0,1994,0
5,3,2,1,7,1,0,1,28,1,1,0,0,18,6,400,1,3,2,3,5,4,0,0,0,0,3,0,1994,1
5,2,13,1,6,1,1,2,27,0,1,0,0,9899,10,400,3,3,2,0,4,4,0,0,0,1,3,0,1995,1
2,4,2,1,2,2,1,1,69,1,0,0,5,14672,13,400,2,3,2,3,6,8,0,0,0,3,3,0,1996,0
3,1,13,1,7,3,0,1,41,1,0,0,4,14431,4,400,2,3,2,3,5,5,0,0,0,3,3,0,1996,0
2,5,6,1,6,2,1,1,43,1,2,1,0,9765,8,400,1,3,2,1,5,5,0,0,0,1,3,0,1995,2
3,2,9,0,2,4,0,1,41,1,1,0,1,13542,1,400,3,3,2,0,5,5,0,0,0,3,3,0,1996,1
5,0,17,1,2,2,1,2,31,0,0,0,0,14426,16,400,1,3,2,3,5,4,0,0,0,2,3,0,1996,0
2,4,15,1,2,4,1,1,46,1,0,0,1,12858,4,400,3,3,2,1,6,6,0,0,0,3,3,0,1996,0
4,3,9,1,6,5,1,1,38,0,2,1,1,128,13,400,3,3,2,1,5,5,0,0,0,2,3,0,1994,2
3,6,9,1,5,5,1,1,39,0,2,1,0,11528,6,400,1,3,2,1,3,5,0,0,0,0,3,0,1996,2
4,5,6,1,2,5,1,2,42,1,1,0,5,13315,7,400,1,3,2,3,7,5,0,0,0,3,2,1,1996,1
1,1,18,1,2,1,1,1,40,0,2,1,5,7929,5,400,4,3,2,3,5,5,0,0,0,2,3,0,1995,2
2,0,17,0,7,5,1,2,23,1,0,0,4,14146,7,400,2,3,2,1,3,3,0,0,0,1,3,2,1996,0
2,0,13,1,1,2,1,1,26,1,1,0,4,14115,8,400,3,3,2,1,5,4,0,0,0,0,3,0,1996,1
3,6,13,1,7,3,1,1,60,0,2,1,0,15408,2,700,4,3,2,2,5,7,0,0,0,3,3,0,1996,2
1,1,9,1,2,2,0,1,35,1,0,0,0,5795,14,400,3,3,2,3,4,4,0,0,0,3,3,0,1994,0
2,2,9,1,2,2,1,2,22,1,4,1,5,4109,8,400,1,3,2,1,1,3,0,0,0,3,3,0,1994,1
3,3,6,1,2,3,1,1,32,0,2,1,0,8188,9,400,4,3,2,1,4,4,0,0,0,0,3,0,1995,2
1,4,17,1,5,2,1,1,40,0,0,0,4,12673,7,400,3,3,2,3,6,5,0,0,0,0,3,0,1996,0
3,3,13,1,2,4,1,1,56,1,2,1,0,7855,2,500,2,3,2,3,6,7,0,0,0,3,1,1,1995,2
1,4,13,0,1,2,1,1,30,0,2,1,1,3140,16,400,4,3,2,1,3,4,0,0,0,1,3,0,1994,2
1,1,9,1,7,1,1,1,36,0,0,0,0,12945,12,400,4,3,2,0,5,5,0,0,0,3,3,0,1996,0
5,4,13,1,1,5,1,1,33,0,1,0,0,7326,13,400,1,3,2,0,4,4,0,0,0,3,3,0,1995,1
3,0,6,1,6,4,1,2,31,1,0,0,0,2032,6,400,3,3,2,0,4,4,0,0,0,0,3,0,1994,0
3,0,13,0,2,2,1,1,43,0,2,1,0,841,2,400,2,3,2,1,5,5,0,0,0,3,2,1,1994,2
4,2,9,1,6,1,1,1,48,1,4,1,5,9500,3,400,4,3,2,1,6,6,0,0,0,3,3,0,1995,1
1,4,2,1,5,4,1,1,26,0,1,0,1,9814,9,400,4,3,2,0,4,4,0,0,0,3,3,0,1995,1
4,6,13,1,7,4,1,2,24,0,1,0,5,12762,10,400,1,3,2,0,3,3,0,0,0,1,3,0,1996,1
3,5,2,1,7,3,1,1,78,0,1,0,1,667,9,400,3,3,2,0,6,8,0,0,0,3,3,0,1994,1
5,1,6,1,6,1,1,1,27,0,2,1,1,11063,4,400,1,3,2,2,5,4,0,0,0,0,3,0,1995,2
1,5,13,1,1,4,0,1,43,0,1,0,0,1514,1,400,1,3,2,1,5,5,0,0,0,1,3,0,1994,1
4,5,6,1,6,4,1,1,53,0,2,1,5,2516,15,400,1,3,2,1,5,6,0,0,0,2,3,0,1994,2
2,0,9,1,6,3,1,2,34,0,2,1,1,6344,12,400,4,3,2,2,4,4,0,0,0,3,3,0,1995,2
2,5,2,1,6,2,1,2,34,0,1,0,0,8907,16,400,4,3,2,1,4,4,0,0,0,3,3,0,1995,1
